"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"W;2;""RANGSIT"";2553;1;""CS213"";""471"";""DATA STRUCTURES"";3;""650002"";3",
"W;2;""RANGSIT"";2553;1;""CS213"";""521"";""DATA STRUCTURES"";3;""050001"";36",
"W;2;""RANGSIT"";2553;1;""CS213"";""521"";""DATA STRUCTURES"";3;""050002"";29",
"W;2;""RANGSIT"";2553;1;""CS213"";""521"";""DATA STRUCTURES"";3;""650001"";34",
"W;2;""RANGSIT"";2553;1;""CS213"";""521"";""DATA STRUCTURES"";3;""650002"";20",
"W;2;""RANGSIT"";2553;1;""CS214"";""521"";""SOCIAL AND PROFESSIONAL ETHICS"";1;""000001"";64",
"W;2;""RANGSIT"";2553;1;""CS214"";""521"";""SOCIAL AND PROFESSIONAL ETHICS"";1;""650001"";43",
"W;2;""RANGSIT"";2553;1;""CS222"";""521"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""650001"";54",
"W;2;""RANGSIT"";2553;1;""CS222"";""521"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""910001"";63",
"W;2;""RANGSIT"";2553;1;""CS223"";""471"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""040001"";21",
"W;2;""RANGSIT"";2553;1;""CS223"";""471"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""040002"";11",
"W;2;""RANGSIT"";2553;1;""CS223"";""471"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""650001"";6",
"W;2;""RANGSIT"";2553;1;""CS223"";""471"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""650002"";7",
"W;2;""RANGSIT"";2553;1;""CS223"";""521"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""040001"";30",
"W;2;""RANGSIT"";2553;1;""CS223"";""521"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""040002"";34",
"W;2;""RANGSIT"";2553;1;""CS223"";""521"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""650001"";54",
"W;2;""RANGSIT"";2553;1;""CS231"";""471"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""650001"";4",
"W;2;""RANGSIT"";2553;1;""CS231"";""471"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""650002"";1",
"W;2;""RANGSIT"";2553;1;""CS231"";""471"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""910001"";4",
"W;2;""RANGSIT"";2553;1;""CS251"";""521"";""DATABASE SYSTEMS 1"";3;""070001"";0",
"W;2;""RANGSIT"";2553;1;""CS281"";""521"";""OBJECT-ORIENTED ANALYSIS AND DESIGN"";3;""080001"";0",
"W;2;""RANGSIT"";2553;1;""CS284"";""471"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""650001"";5",
"W;2;""RANGSIT"";2553;1;""CS284"";""471"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""900001"";18",
"W;2;""RANGSIT"";2553;1;""CS284"";""521"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""650001"";54",
"W;2;""RANGSIT"";2553;1;""CS284"";""521"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""900001"";63",
"W;2;""RANGSIT"";2553;1;""CS285"";""471"";""SOCIAL AND PROFESSIONAL ISSUES"";1;""000001"";71",
"W;2;""RANGSIT"";2553;1;""CS285"";""471"";""SOCIAL AND PROFESSIONAL ISSUES"";1;""650001"";45",
"W;2;""RANGSIT"";2553;1;""CS314"";""471"";""THEORY OF COMPUTATION"";3;""040001"";71",
"W;2;""RANGSIT"";2553;1;""CS314"";""471"";""THEORY OF COMPUTATION"";3;""650001"";69",
"W;2;""RANGSIT"";2553;1;""CS314"";""471"";""THEORY OF COMPUTATION"";3;""650002"";1",
"W;2;""RANGSIT"";2553;1;""CS326"";""471"";""EMBEDDED SYSTEMS DESIGN"";3;""100001"";23",
"W;2;""RANGSIT"";2553;1;""CS326"";""471"";""EMBEDDED SYSTEMS DESIGN"";3;""650001"";10",
"W;2;""RANGSIT"";2553;1;""CS341"";""471"";""OPERATING SYSTEMS 1"";3;""050001"";69",
"W;2;""RANGSIT"";2553;1;""CS341"";""471"";""OPERATING SYSTEMS 1"";3;""650001"";67",
"W;2;""RANGSIT"";2553;1;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""070001"";8",
"W;2;""RANGSIT"";2553;1;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";21",
"W;2;""RANGSIT"";2553;1;""CS356"";""471"";""	COMPUTER APPLICATIONS IN BUSINESS"";3;""100001"";19",
"W;2;""RANGSIT"";2553;1;""CS356"";""471"";""	COMPUTER APPLICATIONS IN BUSINESS"";3;""650001"";3",
"W;2;""RANGSIT"";2553;1;""CS365"";""471"";""ARTIFICIAL INTELLIGENT SYSTEMS"";3;""030001"";33",
"W;2;""RANGSIT"";2553;1;""CS365"";""471"";""ARTIFICIAL INTELLIGENT SYSTEMS"";3;""650001"";31",
"W;2;""RANGSIT"";2553;1;""CS375"";""471"";""COMPUTER GRAPHICS 1"";3;""090001"";34",
"W;2;""RANGSIT"";2553;1;""CS375"";""471"";""COMPUTER GRAPHICS 1"";3;""650001"";24",
"W;2;""RANGSIT"";2553;1;""CS375"";""471"";""COMPUTER GRAPHICS 1"";3;""650002"";1",
"W;2;""RANGSIT"";2553;1;""CS376"";""471"";""GEOMETRIC MODELING"";3;""070001"";4",
"C;2;""RANGSIT"";2553;1;""CS376"";""471"";""GEOMETRIC MODELING"";3;""650001"";0",
"W;2;""RANGSIT"";2553;1;""CS381"";""471"";""OBJECT-ORIENTED ANALYSIS AND DESIGN"";3;""080001"";68",
"W;2;""RANGSIT"";2553;1;""CS381"";""471"";""OBJECT-ORIENTED ANALYSIS AND DESIGN"";3;""650001"";65",
"W;2;""RANGSIT"";2553;1;""CS382"";""471"";""COMPONENT-BASED SOFTWARE DEVELOPMENT"";3;""030001"";41",
"W;2;""RANGSIT"";2553;1;""CS382"";""471"";""COMPONENT-BASED SOFTWARE DEVELOPMENT"";3;""650001"";43",
